date,price18
2025-02-21T00:00:00,65973
2025-02-21T00:01:00,65985
2025-02-21T00:02:00,66012
2025-02-21T00:03:00,65970
2025-02-21T00:04:00,65971
2025-02-21T00:05:00,65956
2025-02-21T00:06:00,65957
2025-02-21T00:07:00,65967
2025-02-21T00:08:00,65926
2025-02-21T00:09:00,65946
2025-02-21T00:10:00,65960
2025-02-21T00:11:00,65934
2025-02-21T00:12:00,65956
2025-02-21T00:13:00,65932
2025-02-21T00:14:00,65944
2025-02-21T00:15:00,65937
2025-02-21T00:16:00,65979
2025-02-21T00:17:00,65982
2025-02-21T00:18:00,65997
2025-02-21T00:19:00,65949
2025-02-21T00:20:00,65991
2025-02-21T00:21:00,66028
2025-02-21T00:22:00,65984
2025-02-21T00:23:00,65943
2025-02-21T00:24:00,65961
2025-02-21T00:25:00,65943
2025-02-21T00:26:00,65898
2025-02-21T00:27:00,65900
2025-02-21T00:28:00,65918
2025-02-21T00:29:00,65900
2025-02-21T00:30:00,65854
2025-02-21T00:31:00,65822
2025-02-21T00:32:00,65818
2025-02-21T00:33:00,65785
2025-02-21T00:34:00,65796
2025-02-21T00:35:00,65801
2025-02-21T00:36:00,65815
2025-02-21T00:37:00,65777
2025-02-21T00:38:00,65826
2025-02-21T00:39:00,65838
2025-02-21T00:40:00,65799
2025-02-21T00:41:00,65814
2025-02-21T00:42:00,65858
2025-02-21T00:43:00,65863
2025-02-21T00:44:00,65820
2025-02-21T00:45:00,65810
2025-02-21T00:46:00,65820
2025-02-21T00:47:00,65793
2025-02-21T00:48:00,65831
2025-02-21T00:49:00,65794
2025-02-21T00:50:00,65829
2025-02-21T00:51:00,65809
2025-02-21T00:52:00,65796
2025-02-21T00:53:00,65802
2025-02-21T00:54:00,65752
2025-02-21T00:55:00,65732
2025-02-21T00:56:00,65731
2025-02-21T00:57:00,65774
2025-02-21T00:58:00,65819
2025-02-21T00:59:00,65819
2025-02-21T01:00:00,65856
2025-02-21T01:01:00,65820
2025-02-21T01:02:00,65811
2025-02-21T01:03:00,65853
2025-02-21T01:04:00,65887
2025-02-21T01:05:00,65892
2025-02-21T01:06:00,65911
2025-02-21T01:07:00,65863
2025-02-21T01:08:00,65872
2025-02-21T01:09:00,65918
2025-02-21T01:10:00,65952
2025-02-21T01:11:00,65935
2025-02-21T01:12:00,65942
2025-02-21T01:13:00,65935
2025-02-21T01:14:00,65949
2025-02-21T01:15:00,65943
2025-02-21T01:16:00,65977
2025-02-21T01:17:00,66020
2025-02-21T01:18:00,66060
2025-02-21T01:19:00,66025
2025-02-21T01:20:00,66048
2025-02-21T01:21:00,66049
2025-02-21T01:22:00,66060
2025-02-21T01:23:00,66079
2025-02-21T01:24:00,66125
2025-02-21T01:25:00,66122
2025-02-21T01:26:00,66127
2025-02-21T01:27:00,66099
2025-02-21T01:28:00,66070
2025-02-21T01:29:00,66107
2025-02-21T01:30:00,66092
2025-02-21T01:31:00,66049
2025-02-21T01:32:00,66030
2025-02-21T01:33:00,66038
2025-02-21T01:34:00,66020
2025-02-21T01:35:00,66020
2025-02-21T01:36:00,65973
2025-02-21T01:37:00,66005
2025-02-21T01:38:00,66019
2025-02-21T01:39:00,65976
2025-02-21T01:40:00,65967
2025-02-21T01:41:00,66016
2025-02-21T01:42:00,66061
2025-02-21T01:43:00,66084
2025-02-21T01:44:00,66095
2025-02-21T01:45:00,66065
2025-02-21T01:46:00,66033
2025-02-21T01:47:00,65996
2025-02-21T01:48:00,66037
2025-02-21T01:49:00,66012
2025-02-21T01:50:00,65994
2025-02-21T01:51:00,65949
2025-02-21T01:52:00,65992
2025-02-21T01:53:00,66018
2025-02-21T01:54:00,66031
2025-02-21T01:55:00,66016
2025-02-21T01:56:00,66028
2025-02-21T01:57:00,66066
2025-02-21T01:58:00,66082
2025-02-21T01:59:00,66109
2025-02-21T02:00:00,66112
2025-02-21T02:01:00,66113
2025-02-21T02:02:00,66075
