date,price18,j_date
2025-02-24T00:00:00,67000,1403/12/06
2025-02-24T00:01:00,67000,1403/12/06
2025-02-24T00:02:00,66996,1403/12/06
2025-02-24T00:03:00,67000,1403/12/06
2025-02-24T00:04:00,67000,1403/12/06
2025-02-24T00:05:00,67000,1403/12/06
2025-02-24T00:06:00,66985,1403/12/06
2025-02-24T00:07:00,67000,1403/12/06
2025-02-24T00:08:00,66951,1403/12/06
2025-02-24T00:09:00,66972,1403/12/06
2025-02-24T00:10:00,66974,1403/12/06
2025-02-24T00:11:00,66968,1403/12/06
2025-02-24T00:12:00,66919,1403/12/06
2025-02-24T00:13:00,66888,1403/12/06
2025-02-24T00:14:00,66924,1403/12/06
2025-02-24T00:15:00,66885,1403/12/06
2025-02-24T00:16:00,66913,1403/12/06
2025-02-24T00:17:00,66955,1403/12/06
2025-02-24T00:18:00,66913,1403/12/06
2025-02-24T00:19:00,66868,1403/12/06
2025-02-24T00:20:00,66896,1403/12/06
2025-02-24T00:21:00,66937,1403/12/06
2025-02-24T00:22:00,66965,1403/12/06
2025-02-24T00:23:00,67000,1403/12/06
2025-02-24T00:24:00,67000,1403/12/06
2025-02-24T00:25:00,66991,1403/12/06
2025-02-24T00:26:00,67000,1403/12/06
2025-02-24T00:27:00,67000,1403/12/06
2025-02-24T00:28:00,67000,1403/12/06
2025-02-24T00:29:00,66995,1403/12/06
2025-02-24T00:30:00,66957,1403/12/06
2025-02-24T00:31:00,66939,1403/12/06
2025-02-24T00:32:00,66950,1403/12/06
2025-02-24T00:33:00,66987,1403/12/06
2025-02-24T00:34:00,66976,1403/12/06
2025-02-24T00:35:00,67000,1403/12/06
2025-02-24T00:36:00,66982,1403/12/06
2025-02-24T00:37:00,67000,1403/12/06
2025-02-24T00:38:00,67000,1403/12/06
2025-02-24T00:39:00,67000,1403/12/06
2025-02-24T00:40:00,67000,1403/12/06
2025-02-24T00:41:00,67000,1403/12/06
2025-02-24T00:42:00,66952,1403/12/06
2025-02-24T00:43:00,66964,1403/12/06
2025-02-24T00:44:00,66931,1403/12/06
2025-02-24T00:45:00,66974,1403/12/06
2025-02-24T00:46:00,66973,1403/12/06
2025-02-24T00:47:00,66978,1403/12/06
2025-02-24T00:48:00,66967,1403/12/06
2025-02-24T00:49:00,66991,1403/12/06
2025-02-24T00:50:00,66982,1403/12/06
2025-02-24T00:51:00,67000,1403/12/06
2025-02-24T00:52:00,66987,1403/12/06
2025-02-24T00:53:00,66968,1403/12/06
2025-02-24T00:54:00,66954,1403/12/06
2025-02-24T00:55:00,66910,1403/12/06
2025-02-24T00:56:00,66885,1403/12/06
2025-02-24T00:57:00,66895,1403/12/06
2025-02-24T00:58:00,66930,1403/12/06
2025-02-24T00:59:00,66892,1403/12/06
2025-02-24T01:00:00,66887,1403/12/06
2025-02-24T01:01:00,66855,1403/12/06
2025-02-24T01:02:00,66854,1403/12/06
2025-02-24T01:03:00,66821,1403/12/06
2025-02-24T01:04:00,66798,1403/12/06
2025-02-24T01:05:00,66779,1403/12/06
2025-02-24T01:06:00,66807,1403/12/06
2025-02-24T01:07:00,66839,1403/12/06
2025-02-24T01:08:00,66863,1403/12/06
2025-02-24T01:09:00,66875,1403/12/06
2025-02-24T01:10:00,66855,1403/12/06
2025-02-24T01:11:00,66847,1403/12/06
2025-02-24T01:12:00,66823,1403/12/06
2025-02-24T01:13:00,66784,1403/12/06
2025-02-24T01:14:00,66833,1403/12/06
2025-02-24T01:15:00,66807,1403/12/06
2025-02-24T01:16:00,66771,1403/12/06
2025-02-24T01:17:00,66765,1403/12/06
2025-02-24T01:18:00,66807,1403/12/06
2025-02-24T01:19:00,66803,1403/12/06
2025-02-24T01:20:00,66824,1403/12/06
2025-02-24T01:21:00,66807,1403/12/06
2025-02-24T01:22:00,66840,1403/12/06
2025-02-24T01:23:00,66805,1403/12/06
2025-02-24T01:24:00,66794,1403/12/06
2025-02-24T01:25:00,66823,1403/12/06
2025-02-24T01:26:00,66801,1403/12/06
2025-02-24T01:27:00,66842,1403/12/06
2025-02-24T01:28:00,66839,1403/12/06
2025-02-24T01:29:00,66871,1403/12/06
2025-02-24T01:30:00,66880,1403/12/06
2025-02-24T01:31:00,66863,1403/12/06
